600299,蓝星新材,蓝星化工新材料股份有限公司
600300,维维股份,维维食品饮料股份有限公司
600301,*ST南化,南宁化工股份有限公司
600302,标准股份,西安标准工业股份有限公司
600303,曙光股份,辽宁曙光汽车集团股份有限公司
600305,恒顺醋业,江苏恒顺醋业股份有限公司
600306,商业城,沈阳商业城股份有限公司
600307,酒钢宏兴,甘肃酒钢集团宏兴钢铁股份有限公司
600308,华泰股份,山东华泰纸业股份有限公司
600309,万华化学,万华化学集团股份有限公司
600310,桂东电力,广西桂东电力股份有限公司
600311,荣华实业,甘肃荣华实业（集团）股份有限公司
600312,平高电气,河南平高电气股份有限公司
600313,农发种业,中农发种业集团股份有限公司
600315,上海家化,上海家化联合股份有限公司
600316,洪都航空,江西洪都航空工业股份有限公司
600317,营口港,营口港务股份有限公司
600318,巢东股份,安徽巢东水泥股份有限公司
600319,*ST亚星,潍坊亚星化学股份有限公司
600320,振华重工,上海振华重工（集团）股份有限公司
600321,国栋建设,四川国栋建设股份有限公司
600322,天房发展,天津市房地产发展（集团）股份有限公司
600323,瀚蓝环境,瀚蓝环境股份有限公司
600325,华发股份,珠海华发实业股份有限公司
600326,西藏天路,西藏天路股份有限公司
600327,大东方,无锡商业大厦大东方股份有限公司
600328,兰太实业,内蒙古兰太实业股份有限公司
600329,中新药业,天津中新药业集团股份有限公司
600330,天通股份,天通控股股份有限公司
600331,宏达股份,四川宏达股份有限公司
600332,白云山,广州白云山医药集团股份有限公司
600333,长春燃气,长春燃气股份有限公司
600335,国机汽车,国机汽车股份有限公司
600336,澳柯玛,澳柯玛股份有限公司
600337,美克股份,美克国际家具股份有限公司
600338,西藏珠峰,西藏珠峰工业股份有限公司
600339,天利高新,新疆独山子天利高新技术股份有限公司
600340,华夏幸福,华夏幸福基业股份有限公司
600343,航天动力,陕西航天动力高科技股份有限公司
600345,长江通信,武汉长江通信产业集团股份有限公司
600346,大橡塑,大连橡胶塑料机械股份有限公司
600348,阳泉煤业,阳泉煤业（集团）股份有限公司
600350,山东高速,山东高速公路股份有限公司
600351,亚宝药业,亚宝药业集团股份有限公司
600352,浙江龙盛,浙江龙盛集团股份有限公司
600353,旭光股份,成都旭光电子股份有限公司
600354,敦煌种业,甘肃省敦煌种业股份有限公司
600355,精伦电子,精伦电子股份有限公司
600356,恒丰纸业,牡丹江恒丰纸业股份有限公司
600358,*ST联合,国旅联合股份有限公司
600359,新农开发,新疆塔里木农业综合开发股份有限公司
600360,华微电子,吉林华微电子股份有限公司
600361,华联综超,北京华联综合超市股份有限公司
600362,江西铜业,江西铜业股份有限公司
600363,联创光电,江西联创光电科技股份有限公司
600365,通葡股份,通化葡萄酒股份有限公司
600366,宁波韵升,宁波韵升股份有限公司
600367,红星发展,贵州红星发展股份有限公司
600368,五洲交通,广西五洲交通股份有限公司
600369,西南证券,西南证券股份有限公司
600370,三房巷,江苏三房巷实业股份有限公司
600371,万向德农,万向德农股份有限公司
600372,中航电子,中航机载电子股份有限公司
600373,中文传媒,中文天地出版传媒股份有限公司
600375,华菱星马,华菱星马汽车（集团）股份有限公司
600376,首开股份,北京首都开发股份有限公司
600377,宁沪高速,江苏宁沪高速公路股份有限公司
600378,天科股份,四川天一科技股份有限公司
600379,宝光股份,陕西宝光真空电器股份有限公司
600380,健康元,健康元药业集团股份有限公司
600381,*ST贤成,青海贤成矿业股份有限公司
600382,广东明珠,广东明珠集团股份有限公司
600383,金地集团,金地（集团）股份有限公司
600386,北巴传媒,北京巴士传媒股份有限公司
600387,海越股份,浙江海越股份有限公司
600388,龙净环保,福建龙净环保股份有限公司
600389,江山股份,南通江山农药化工股份有限公司
600390,金瑞科技,金瑞新材料科技股份有限公司
600391,成发科技,四川成发航空科技股份有限公司
600392,盛和资源,盛和资源控股股份有限公司
600393,东华实业,广州东华实业股份有限公司
600395,盘江股份,贵州盘江精煤股份有限公司
600396,金山股份,沈阳金山能源股份有限公司
600397,安源煤业,安源煤业集团股份有限公司
600398,凯诺科技,凯诺科技股份有限公司
600399,抚顺特钢,抚顺特殊钢股份有限公司
600400,红豆股份,江苏红豆实业股份有限公司
600401,海润光伏,海润光伏科技股份有限公司
600403,大有能源,河南大有能源股份有限公司
600405,动力源,北京动力源科技股份有限公司
600406,国电南瑞,国电南瑞科技股份有限公司
600408,安泰集团,山西安泰集团股份有限公司
600409,三友化工,唐山三友化工股份有限公司
600410,华胜天成,北京华胜天成科技股份有限公司
600415,小商品城,浙江中国小商品城集团股份有限公司
600416,湘电股份,湘潭电机股份有限公司
600418,江淮汽车,安徽江淮汽车股份有限公司
600419,新疆天宏,新疆天宏纸业股份有限公司
600420,现代制药,上海现代制药股份有限公司
600421,*ST国药,武汉国药科技股份有限公司
600422,昆明制药,昆明制药集团股份有限公司
600423,柳化股份,柳州化工股份有限公司
600425,青松建化,新疆青松建材化工（集团）股份有限公司
600426,华鲁恒升,山东华鲁恒升化工股份有限公司
600428,中远航运,中远航运股份有限公司
600429,三元股份,北京三元食品股份有限公司
600432,吉恩镍业,吉林吉恩镍业股份有限公司
600433,冠豪高新,广东冠豪高新技术股份有限公司
600435,北方导航,北方导航控制技术股份有限公司
600436,片仔癀,漳州片仔癀药业股份有限公司
600438,通威股份,通威股份有限公司
600439,瑞贝卡,河南瑞贝卡发制品股份有限公司
600444,*ST国通,安徽国通高新管业股份有限公司
600446,金证股份,深圳市金证科技股份有限公司
600448,华纺股份,华纺股份有限公司
600449,宁夏建材,宁夏建材集团股份有限公司
600452,涪陵电力,重庆涪陵电力实业股份有限公司
600455,博通股份,西安交大博通资讯股份有限公司
600456,宝钛股份,宝鸡钛业股份有限公司
600458,时代新材,株洲时代新材料科技股份有限公司
600459,贵研铂业,贵研铂业股份有限公司
600460,士兰微,杭州士兰微电子股份有限公司
600461,洪城水业,江西洪城水业股份有限公司
600462,石岘纸业,延边石岘白麓纸业股份有限公司
600463,空港股份,北京空港科技园区股份有限公司
600466,迪康药业,四川迪康科技药业股份有限公司
600467,好当家,山东好当家海洋发展股份有限公司
600468,百利电气,天津百利特精电气股份有限公司
600469,风神股份,风神轮胎股份有限公司
600470,六国化工,安徽六国化工股份有限公司
600475,华光股份,无锡华光锅炉股份有限公司
600476,湘邮科技,湖南湘邮科技股份有限公司
600477,杭萧钢构,浙江杭萧钢构股份有限公司
600478,科力远,湖南科力远新能源股份有限公司
600479,千金药业,株洲千金药业股份有限公司
600480,凌云股份,凌云工业股份有限公司
600481,双良节能,双良节能系统股份有限公司
600482,风帆股份,风帆股份有限公司
600483,福建南纺,福建南纺股份有限公司
600485,中创信测,北京中创信测科技股份有限公司
